Tesztadatok linearizálható függvényekkel történő közelítésekhez
7
39
    1.0000,   10.7900,   20.2300,  121.5104,   10.6780,   61.5592,    0.6000
    1.5000,   12.4250,   13.4575,   89.1214,   13.7738,    2.4395,    0.5161
    2.0000,   14.0600,    3.6400,   65.3659,   17.4041,    0.4642,    0.4545
    2.5000,   15.6950,   -8.6675,   47.9424,   21.0395,    0.1838,    0.4068
    3.0000,   17.3300,  -22.9100,   35.1632,   24.5414,    0.1090,    0.3684
    3.5000,   18.9650,  -38.5325,   25.7903,   27.8751,    0.0825,    0.3368
    4.0000,   20.6000,  -54.9800,   18.9158,   31.0391,    0.0733,    0.3103
    4.5000,   22.2350,  -71.6975,   13.8738,   34.0428,    0.0724,    0.2878
    5.0000,   23.8700,  -88.1300,   10.1757,   36.8987,    0.0772,    0.2683
    5.5000,   25.5050, -103.7225,    7.4633,   39.6197,    0.0870,    0.2513
    6.0000,   27.1400, -117.9200,    5.4739,   42.2179,    0.1019,    0.2364
    6.5000,   28.7750, -130.1675,    4.0149,   44.7041,    0.1230,    0.2231
    7.0000,   30.4100, -139.9100,    2.9447,   47.0881,    0.1518,    0.2113
    7.5000,   32.0450, -146.5925,    2.1598,   49.3786,    0.1904,    0.2006
    8.0000,   33.6800, -149.6600,    1.5841,   51.5831,    0.2420,    0.1910
    8.5000,   35.3150, -148.5575,    1.1618,   53.7085,    0.3105,    0.1823
    9.0000,   36.9500, -142.7300,    0.8521,   55.7608,    0.4012,    0.1743
    9.5000,   38.5850, -131.6225,    0.6250,   57.7453,    0.5210,    0.1670
   10.0000,   40.2200, -114.6800,    0.4584,   59.6668,    0.6792,    0.1603
   10.5000,   41.8550,  -91.3475,    0.3362,   61.5298,    0.8876,    0.1541
   11.0000,   43.4900,  -61.0700,    0.2466,   63.3379,    1.1617,    0.1484
   11.5000,   45.1250,  -23.2925,    0.1809,   65.0947,    1.5218,    0.1431
   12.0000,   46.7600,   22.5400,    0.1327,   66.8033,    1.9940,    0.1381
   12.5000,   48.3950,   76.9825,    0.0973,   68.4666,    2.6121,    0.1335
   13.0000,   50.0300,  140.5900,    0.0714,   70.0873,    3.4194,    0.1292
   13.5000,   51.6650,  213.9175,    0.0523,   71.6677,    4.4719,    0.1251
   14.0000,   53.3000,  297.5200,    0.0384,   73.2100,    5.8413,    0.1213
   14.5000,   54.9350,  391.9525,    0.0282,   74.7162,    7.6189,    0.1178
   15.0000,   56.5700,  497.7700,    0.0207,   76.1881,    9.9216,    0.1144
   15.5000,   58.2050,  615.5275,    0.0151,   77.6275,   12.8978,    0.1112
   16.0000,   59.8400,  745.7800,    0.0111,   79.0359,   16.7359,    0.1082
   16.5000,   61.4750,  889.0825,    0.0081,   80.4148,   21.6743,    0.1053
   17.0000,   63.1100, 1045.9900,    0.0060,   81.7656,   28.0141,    0.1026
   17.5000,   64.7450, 1217.0575,    0.0044,   83.0895,   36.1344,    0.1001
   18.0000,   66.3800, 1402.8400,    0.0032,   84.3876,   46.5120,    0.0976
   18.5000,   68.0150, 1603.8925,    0.0024,   85.6611,   59.7445,    0.0953
   19.0000,   69.6500, 1820.7700,    0.0017,   86.9110,   76.5794,    0.0931
   19.5000,   71.2850, 2054.0275,    0.0013,   88.1383,   97.9502,    0.0910
   20.0000,   72.9200, 2304.2200,    0.0009,   89.3439,  125.0194,    0.0889
