Tesztadatok trigonometrikus függvényekkel történő közelítésekhez
3
69
  0.0000, 13.3800, 11.5080
  0.2277, 11.5565,  6.2685
  0.4553,  8.3596,  4.1838
  0.6830,  4.6406,  2.2874
  0.9106,  1.3606, -6.9688
  1.1383, -0.6888,  5.6960
  1.3659, -1.1040,  9.8141
  1.5936,  0.0440, 10.4028
  1.8212,  2.2748,  2.3681
  2.0489,  4.8810,  6.2671
  2.2765,  7.1529, -6.3792
  2.5042,  8.5672,  0.6774
  2.7318,  8.8807,  8.5214
  2.9595,  8.1209, 11.8923
  3.1871,  6.5009,  4.2269
  3.4148,  4.3154,  5.5406
  3.6424,  1.8679, -0.8530
  3.8701, -0.5504, -5.1629
  4.0977, -2.6406,  7.1189
  4.3254, -4.0758, 10.6855
  4.5530, -4.5196,  8.5507
  4.7807, -3.7024,  2.9135
  5.0083, -1.5356,  4.8814
  5.2360,  1.7830, -7.4347
  5.4636,  5.7341,  3.4582
  5.6913,  9.5494,  9.0648
  5.9189, 12.3912, 11.5850
  6.1466, 13.5896,  2.8237
  6.3742, 12.8572,  6.4115
  6.6019, 10.4006, -3.9488
  6.8295,  6.8802, -2.4599
  7.0572,  3.2249,  7.9598
  7.2849,  0.3602, 11.4835
  7.5125, -1.0576,  6.3518
  7.7402, -0.8131,  4.1313
  7.9678,  0.8433,  2.3973
  8.1955,  3.3143, -7.0128
  8.4231,  5.8649,  5.6285
  8.6508,  7.8418,  9.7833
  8.8784,  8.8285, 10.4604
  9.1061,  8.6967,  2.3656
  9.3337,  7.5604,  6.2949
  9.5614,  5.6773, -6.3123
  9.7890,  3.3514,  0.5649
 10.0167,  0.8808,  8.5027
 10.2443, -1.4435, 11.8889
 10.4720, -3.3124,  4.2949
 10.6996, -4.3900,  5.4946
 10.9273, -4.3544, -0.7311
 11.1549, -2.9938, -5.2505
 11.3826, -0.3243,  7.0773
 11.6102,  3.3265, 10.6522
 11.8379,  7.3243,  8.6296
 12.0655, 10.8468,  2.8781
 12.2932, 13.0943,  4.9554
 12.5208, 13.5282, -7.4215
 12.7485, 12.0533,  3.3629
 12.9761,  9.0714,  9.0416
 13.2038,  5.3793, 11.6113
 13.4314,  1.9389,  2.8606
 13.6591, -0.4035,  6.3941
 13.8868, -1.1550, -3.8414
 14.1144, -0.2923, -2.5713
 14.3421,  1.7745,  7.9355
 14.5697,  4.3655, 11.4585
 14.7974,  6.7542,  6.4353
 15.0250,  8.3688,  4.0790
 15.2527,  8.9081,  2.5063
 15.4803,  8.3503, -7.0549
