McReynolds standardok retenciós index értékei 120C-on
10
223
12,2,-3,1,11,0,10,2,5,8
9,5,2,6,11,2,9,2,6,6
10,5,3,7,13,3,11,2,9,7
11,6,2,7,13,2,12,2,9,9
14,14,8,17,21,10,15,5,14,10
31,22,15,30,40,12,32,10,28,29
32,22,15,32,42,13,35,11,31,33
32,24,16,31,43,13,32,10,30,31
21,29,24,42,40,18,24,8,40,24
19,58,14,21,47,21,16,5,21,10
25,26,25,41,42,14,29,8,43,33
35,28,19,37,47,16,36,11,33,33
13,51,42,61,36,31,0,21,41,-6
12,53,42,61,37,31,0,21,41,-6
38,36,27,49,57,23,42,15,42,35
38,40,28,52,58,25,41,15,43,35
15,53,44,64,41,31,3,22,44,-2
15,56,44,66,40,32,3,22,45,-1
16,55,44,65,42,32,4,23,45,-1
16,56,44,65,41,33,3,22,45,-2
16,54,45,65,43,32,3,23,46,-1
16,55,45,66,42,33,4,23,46,-1
17,54,45,67,42,33,4,23,46,-1
14,57,46,67,43,33,2,22,46,-4
16,57,45,66,43,33,3,23,46,-3
17,57,45,67,43,33,4,23,46,-2
18,57,47,68,44,34,5,24,48,0
17,58,47,66,46,34,4,23,48,-1
19,57,48,69,47,36,7,23,50,-1
17,86,48,69,56,36,3,23,51,-2
25,65,60,89,57,42,16,32,59,2
32,72,65,98,67,44,23,36,67,9
33,72,66,99,67,46,24,36,68,10
32,72,70,100,68,49,24,35,69,7
37,77,80,118,79,53,32,49,77,3
41,109,65,112,71,85,37,29,61,-1
44,86,81,124,88,55,39,46,84,17
43,110,61,88,122,86,41,24,73,18
51,68,114,144,118,68,12,53,104,3
55,67,114,143,116,73,16,57,109,4
59,86,81,151,129,46,53,23,81,37
56,135,83,136,97,102,49,40,81,5
55,71,116,143,123,70,16,57,110,4
69,113,111,171,128,77,68,66,120,35
74,116,117,178,135,81,74,72,128,36
82,135,99,155,154,90,93,42,109,59
66,166,107,178,118,130,62,50,106,8
72,167,107,179,123,132,68,49,106,11
72,168,108,180,123,132,68,49,106,10
72,168,108,180,125,132,68,49,107,11
76,123,126,189,140,89,79,78,134,31
77,124,126,189,142,90,79,79,136,31
81,124,124,189,145,87,81,77,136,40
71,171,113,185,128,134,67,52,114,11
73,174,116,189,129,137,68,54,116,10
75,156,122,195,140,119,76,51,115,25
109,132,113,171,168,104,75,45,137,34
64,193,106,143,191,147,57,41,121,20
79,179,119,193,134,141,72,57,119,10
79,158,120,192,158,120,79,52,116,26
76,181,121,197,134,144,71,55,119,9
84,182,122,197,143,143,77,50,127,18
78,187,126,204,140,148,72,59,126,8
84,173,137,218,155,133,83,59,130,24
102,142,145,219,178,100,103,92,164,59
83,183,147,231,159,141,82,65,138,18
71,288,117,215,132,225,71,47,103,7
168,366,227,350,308,266,149,119,255,61
176,321,250,374,299,242,169,131,254,76
172,330,251,378,295,264,147,128,276,54
189,328,239,368,312,257,169,124,271,79
176,382,230,353,323,275,158,118,265,72
180,375,234,366,317,270,159,127,265,68
185,370,242,370,327,267,165,130,275,75
144,233,355,463,305,203,136,53,280,59
196,345,251,381,328,271,176,129,285,83
193,380,241,376,321,265,166,141,274,75
146,238,358,468,310,206,139,56,283,60
198,381,241,379,323,264,169,144,278,80
191,382,244,380,333,277,168,131,279,73
186,395,242,370,339,285,169,127,279,79
192,381,253,382,344,277,172,136,288,78
152,241,366,479,319,208,144,55,291,64
201,390,247,388,335,271,172,145,285,82
203,394,251,393,340,276,144,146,289,83
197,386,258,389,351,281,176,39,293,81
